"Hostname","Site","Routing domain","Switching Domain","Serial Number","Login IP","Management Protocol","Uptime","Reload Reason","Memory %","Vendor","Family","Platform","Model","Configuration Register","Version","Processor","Type","API Slug"
"eudc02-lb-001-black.network.axadmin.net","eu,dc02","","","f5-fgyb-fabl","10.119.24.82","ssh","1 year, 8 months, 3 weeks, 2 minutes","","0.95","f5","big-ip","vcmp","","","16.1.2.2","","lb",""
"usdc01-fab1-lb-001-white.network.axadmin.net","us,dc01","","","f5-barm-ecti","10.119.0.84","ssh","1 year, 7 months, 3 weeks, 17 minutes","","5.99","f5","big-ip","vcmp","","","16.1.2.2","","lb",""
"USDC01-LB01-GRPUR-PRI.network.axadmin.net","us,dc01","","","f5-barm-ecti","10.119.0.86","ssh","1 year, 8 months, 1 week, 5 days, 13 hours, 42 minutes","","31.76","f5","big-ip","vcmp","","","16.1.2.2","","lb",""
"USDC01-LB01-BLUENP-PRI.solera.farm","us,dc01","","","f5-barm-ecti","10.119.0.88","ssh","2 months, 2 weeks, 1 day, 15 hours, 4 minutes","","0.98","f5","big-ip","vcmp","","","17.1.1.4","","lb",""
"USDC01-LB01-BLUE-PRI.network.axadmin.net","us,dc01","","","f5-barm-ecti","10.119.0.80","ssh","5 months, 3 weeks, 1 day, 7 hours, 4 minutes","","69.21","f5","big-ip","vcmp","","","16.1.2.2","","lb",""
"usdc01-fab1-lb-001-black.network.axadmin.net","us,dc01","","","f5-barm-ecti","10.119.0.82","ssh","1 month, 2 weeks, 2 days, 21 hours, 20 minutes","","1.89","f5","big-ip","vcmp","","","17.1.1.4","","lb",""
"usdc01-fab1-lb-001-black-nonprod.network.axadmin.net","us,dc01","","","f5-barm-ecti","10.119.0.90","ssh","2 months, 2 weeks, 1 day, 13 hours, 13 minutes","","1.57","f5","big-ip","vcmp","","","17.1.1.4","","lb",""
"dc1-f5-xrs-prod-02.mgmt.omnitracs.com","ot,dc01","","","4227b287-0250-ee01-31a55005c57d","192.168.13.18","ssh","2 years, 2 months, 3 weeks, 3 days, 21 hours, 46 minutes","","8.79","f5","big-ip","virtual edition","","","16.1.3","","lb",""
"dc1-apm-dev-01.mgmt.omnitracs.com","ot,dc01","","","422791b8-58a1-147e-d2c98f331e8a","192.168.13.35","ssh","2 years, 3 months, 2 days, 12 hours, 9 minutes","","11.71","f5","big-ip","virtual edition","","","16.1.3","","lb",""
"na-oec-02-internal-acpt-02.mgmt.omnitracs.com","ot,dc02","","","42033983-1d6b-758b-5bebbe3c57b3","192.168.52.184","ssh","1 year, 8 months, 1 week, 6 days, 13 hours, 47 minutes","","4.15","f5","big-ip","virtual edition","","","16.1.3","","lb",""
"dc1-f5-xrs-prod-01.mgmt.omnitracs.com","ot,dc01","","","42272d6f-4615-e071-e1ce8067e017","192.168.13.17","ssh","10 months, 2 weeks, 2 days, 10 hours, 49 minutes","","8.84","f5","big-ip","virtual edition","","","16.1.3","","lb",""
"na-oec-02-sag-test-01.mgmt.omnitracs.com","ot,dc02","","","42034626-c17f-9a28-06ae28533123","192.168.52.186","ssh","2 years, 4 months, 3 weeks, 6 days, 3 hours, 4 minutes","","9.56","f5","big-ip","virtual edition","","","16.1.3","","lb",""
"dc1-sag-acpt-01.mgmt.omnitracs.com","ot,dc01","","","42274e45-acef-61db-8ab86881f5f5","192.168.13.14","ssh","2 years, 1 month, 4 weeks, 1 day, 7 hours, 34 minutes","","13.52","f5","big-ip","virtual edition","","","16.1.3","","lb",""
